Record ID,Get Name,Get content,Whop Community Name
db9d4bd9-98f1-466f-9296-9cefc850c290,Cours Trading A-a-Z,"🚀 Technique A-a-Z : 7 étapes pour trader, communauté Discord et capital prop firm ! 💸",Cours Trading Modèle A à Z
db9d4bd9-98f1-466f-9296-9cefc850c290,Discord Cours A à Z,"🚀 Rejoignez le Discord exclusif du seul cours complet sur le price action, modèle A à Z !",Cours Trading Modèle A à Z
729ab2d9-acbb-4a89-a30d-8f7dfd67ed7e,Discord,Join our community for live market insights and trading education.,CheckMate Trading™
10db7154-6076-43ec-b9b9-dd8cfdc041d3,ᴄᴏʀᴇ,Całość CORE -> Poziomy 1-7 -> video + PDF,ᴄᴏʀᴇ 🪬 🕉️
10db7154-6076-43ec-b9b9-dd8cfdc041d3,🕉️ ᴅɪꜱᴄᴏʀᴅ ᴅʟᴀ ꜱᴛᴜᴅᴇɴᴛᴏ́ᴡ ᴄᴏʀᴇ,Grupa studentów na Discord,ᴄᴏʀᴇ 🪬 🕉️
10db7154-6076-43ec-b9b9-dd8cfdc041d3,ᴢᴀᴌᴀ̨ᴄᴢɴɪᴋɪ ᴅʟᴀ 👨‍🎓 👩‍🎓,Załączniki do materiałów,ᴄᴏʀᴇ 🪬 🕉️
10db7154-6076-43ec-b9b9-dd8cfdc041d3,ʟɪɴᴋɪ,Discover and enjoy unique offers and discounts through our exclusive affiliate links.,ᴄᴏʀᴇ 🪬 🕉️
2348232b-f7de-4b12-aba8-2c847c206285,ᴄᴏʀᴇ,Całość CORE -> Poziomy 1-7 -> video + PDF,ᴄᴏʀᴇ 🪬 🕉️
2348232b-f7de-4b12-aba8-2c847c206285,🕉️ ᴅɪꜱᴄᴏʀᴅ ᴅʟᴀ ꜱᴛᴜᴅᴇɴᴛᴏ́ᴡ ᴄᴏʀᴇ,Grupa studentów na Discord,ᴄᴏʀᴇ 🪬 🕉️
2348232b-f7de-4b12-aba8-2c847c206285,ᴢᴀᴌᴀ̨ᴄᴢɴɪᴋɪ ᴅʟᴀ 👨‍🎓 👩‍🎓,Załączniki do materiałów,ᴄᴏʀᴇ 🪬 🕉️
2348232b-f7de-4b12-aba8-2c847c206285,ʟɪɴᴋɪ,Discover and enjoy unique offers and discounts through our exclusive affiliate links.,ᴄᴏʀᴇ 🪬 🕉️
9071084e-3a48-4d3c-a24e-a36b952cf789,VIP Role,Access exclusive VIP Discord features,VIP Trader Access
9071084e-3a48-4d3c-a24e-a36b952cf789,EM Alerts ⚡,Real-Time Alerts to Help You Trade Smarter and Faster.,VIP Trader Access
9071084e-3a48-4d3c-a24e-a36b952cf789,Live Trading 💥,Daily Live Trading to Guide You Toward Profitability.,VIP Trader Access
9071084e-3a48-4d3c-a24e-a36b952cf789,Analyst Alerts 🚨,Accurate Analyst Alerts to Keep You Ahead in the Market.,VIP Trader Access
9071084e-3a48-4d3c-a24e-a36b952cf789,Premium Watchlists📈,Curated Watchlists to Simplify Your Trading Focus.,VIP Trader Access
9071084e-3a48-4d3c-a24e-a36b952cf789,Live Trading Replays,Access Live Trading Replays to Learn and Improve Anytime,VIP Trader Access
